r,rho,v,P
0.30659303906352725,0.023303176480960558,0.10953806216664687,0.04310597272893938
0.3066670417266811,0.023331391924418403,0.10956457006525917,0.04310609048555779
0.3067410443898349,0.023359634833417395,0.10959107809639636,0.043106208420746216
0.3068150470529887,0.023387905228415353,0.10961758626025044,0.043106326534718346
0.3068890497161425,0.023416203129881345,0.10964409455701371,0.04310644482768811
0.30696305237929633,0.0234445285582957,0.10967060298687864,0.043106563299869644
0.3070370550424501,0.023472881534150003,0.10969711155003795,0.04310668195147727
0.30711105770560393,0.023501262077947102,0.10972362024668458,0.04310680078272557
0.30718506036875776,0.023529670210201123,0.10975012907701175,0.043106919793829315
0.3072590630319116,0.02355810595143747,0.10977663804121283,0.043107038985003475
0.30733306569506535,0.02358656932219283,0.1098031471394815,0.04310715835646325
0.3074070683582192,0.023615060343015176,0.10982965637201167,0.04310727790842408
0.307481071021373,0.023643579034463777,0.10985616573899742,0.04310739764110159
0.3075550736845268,0.023672125417109207,0.10988267524063311,0.0431075175547116
0.3076290763476806,0.023700699511533346,0.10990918487711335,0.04310763764947021
0.30770307901083443,0.023729301338329383,0.10993569464863293,0.043107757925593695
0.3077770816739882,0.023757930918101827,0.1099622045553869,0.04310787838329851
0.30785108433714203,0.023786588271466513,0.1099887145975706,0.04310799902280142
0.3079250870002958,0.023815273419050605,0.11001522477537949,0.04310811984431931
0.30799908966344963,0.023843986381492602,0.1100417350890094,0.04310824084806935
0.30807309232660346,0.023872727179442346,0.11006824553865628,0.043108362034268884
0.30814709498975723,0.023901495833561028,0.11009475612451636,0.04310848340313547
0.3082210976529111,0.023930292364521186,0.11012126684678615,0.04310860495488696
0.3082951003160649,0.023959116793006725,0.1101477777056623,0.04310872668974129
0.3083691029792187,0.02398796913971291,0.11017428870134179,0.04310884860791675
0.3084431056423725,0.024016849425346376,0.11020079983402174,0.04310897070963174
0.3085171083055263,0.024045757670625136,0.11022731110389965,0.043109092995104945
0.30859111096868014,0.02407469389627859,0.1102538225111731,0.04310921546455524
0.3086651136318339,0.02410365812304752,0.11028033405604,0.04310933811820171
0.30873911629498774,0.024132650371684106,0.11030684573869848,0.043109460956263695
0.30881311895814156,0.02416167066295193,0.1103333575593469,0.043109583978960704
0.30888712162129534,0.024190719017625973,0.11035986951818383,0.04310970718651249
0.30896112428444916,0.024219795456492634,0.11038638161540815,0.043109830579139044
0.309035126947603,0.024248900000349728,0.11041289385121893,0.043109954157060544
0.30910912961075676,0.024278032670006493,0.11043940622581545,0.043110077920497376
0.3091831322739106,0.024307193486283598,0.11046591873939732,0.04311020186967021
0.3092571349370644,0.024336382470013147,0.11049243139216429,0.04311032600479986
0.30933113760021824,0.024365599642038684,0.11051894418431643,0.0431104503261074
0.309405140263372,0.024394845023215206,0.11054545711605396,0.04311057483381409
0.3094791429265258,0.024424118634409155,0.1105719701875774,0.04311069952814147
0.30955314558967967,0.02445342049649844,0.11059848339908758,0.04311082440931128
0.30962714825283344,0.024482750630372432,0.1106249967507854,0.0431109494775454
0.30970115091598727,0.02451210905693197,0.11065151024287212,0.043111074733066045
0.3097751535791411,0.024541495797089377,0.11067802387554923,0.04311120017609559
0.30984915624229487,0.024570910871768454,0.11070453764901843,0.04311132580685662
0.3099231589054487,0.024600354301904492,0.11073105156348167,0.04311145162557198
0.30999716156860246,0.02462982610844428,0.11075756561914114,0.04311157763246471
0.3100711642317563,0.0246593263123461,0.11078407981619932,0.043111703827758086
0.3101451668949101,0.02468885493457975,0.11081059415485886,0.04311183021167559
0.3102191695580639,0.02471841199612654,0.11083710863532267,0.04311195678444092
0.3102931722212178,0.024747997517979296,0.11086362325779395,0.043112083546278046
0.31036717488437154,0.02477761152114237,0.11089013802247605,0.043112210497411076
0.31044117754752537,0.024807254026631646,0.11091665292957267,0.043112337638064414
0.3105151802106792,0.02483692505547454,0.11094316797928769,0.043112464968462653
0.31058918287383297,0.024866624628710022,0.1109696831718252,0.0431125924888306
0.3106631855369868,0.0248963527673886,0.11099619850738965,0.04311272019939331
0.31073718820014057,0.024926109492572342,0.1110227139861856,0.043112848100376036
0.3108111908632944,0.02495589482533488,0.11104922960841798,0.04311297619200428
0.3108851935264482,0.02498570878676141,0.11107574537429186,0.04311310447450375
0.310959196189602,0.0250155513979487,0.1111022612840126,0.043113232948100357
0.3110331988527558,0.0250454226800051,0.1111287773377858,0.04311336161302029
0.31110720151590965,0.025075322654050543,0.11115529353581731,0.04311349046948992
0.3111812041790634,0.02510525134121656,0.11118180987831319,0.043113619517735825
0.31125520684221725,0.025135208762646275,0.11120832636547982,0.04311374875798487
0.3113292095053711,0.025165194939494415,0.11123484299752377,0.04311387819046409
0.3114032121685249,0.025195209892927315,0.11126135977465186,0.04311400781540076
0.3114772148316787,0.02522525364412293,0.11128787669707112,0.04311413763302236
0.3115512174948325,0.025255326214270842,0.11131439376498892,0.04311426764355665
0.3116252201579863,0.02528542762457225,0.1113409109786128,0.04311439784723157
0.3116992228211401,0.025315557896239998,0.11136742833815057,0.043114528244275266
0.3117732254842939,0.02534571705049856,0.11139394584381031,0.043114658834916164
0.31184722814744775,0.025375905108584066,0.11142046349580031,0.04311478961938289
0.3119212308106015,0.025406122091744292,0.1114469812943291,0.04311492059790426
0.31199523347375535,0.02543636802123868,0.11147349923960553,0.0431150517707094
0.3120692361369092,0.025466642918338327,0.11150001733183865,0.04311518313802758
0.31214323880006295,0.025496946804326008,0.11152653557123768,0.04311531470008831
0.3122172414632168,0.02552727970049618,0.11155305395801224,0.04311544645712138
0.31229124412637055,0.025557641628154975,0.11157957249237208,0.04311557840935673
0.31236524678952443,0.02558803260862022,0.11160609117452729,0.043115710557024615
0.3124392494526782,0.025618452663221436,0.11163261000468809,0.04311584290035541
0.312513252115832,0.025648901813299842,0.11165912898306506,0.04311597543957979
0.31258725477898586,0.025679380080208376,0.11168564810986902,0.04311610817492869
0.31266125744213963,0.02570988748531168,0.11171216738531095,0.043116241106633146
0.31273526010529346,0.025740424049986124,0.11173868680960218,0.043116374234924544
0.3128092627684472,0.025770989795619804,0.11176520638295422,0.04311650756003442
0.31288326543160105,0.025801584743612545,0.1117917261055789,0.04311664108219461
0.3129572680947549,0.025832208915375916,0.11181824597768825,0.04311677480163711
0.31303127075790865,0.02586286233233323,0.11184476599949451,0.04311690871859415
0.3131052734210625,0.02589354501591955,0.11187128617121028,0.04311704283329826
0.3131792760842163,0.025924256987581704,0.11189780649304835,0.0431171771459821
0.3132532787473701,0.025954998268778274,0.11192432696522173,0.04311731165687861
0.3133272814105239,0.025985768880979625,0.11195084758794376,0.04311744636622098
0.31340128407367773,0.02601656884566789,0.11197736836142796,0.04311758127424259
0.31347528673683156,0.02604739818433699,0.11200388928588816,0.04311771638117706
0.31354928939998533,0.026078256918492634,0.11203041036153835,0.04311785168725822
0.31362329206313916,0.026109145069652326,0.11205693158859292,0.043117987192720184
0.313697294726293,0.026140062659345376,0.11208345296726639,0.04311812289779725
0.31377129738944676,0.026171009709112895,0.11210997449777359,0.04311825880272393
0.3138453000526006,0.026201986240507822,0.11213649618032957,0.04311839490773503
0.3139193027157544,0.026232992275094905,0.11216301801514966,0.043118531213065546
0.3139933053789082,0.026264027834450723,0.11218954000244942,0.04311866771895067
0.314067308042062,0.026295092940163693,0.11221606214244471,0.0431188044256259
0.31414131070521584,0.026326187613834068,0.11224258443535161,0.043118941333326916
0.3142153133683696,0.02635731187707395,0.11226910688138642,0.04311907844228962
0.31428931603152344,0.02638846575150729,0.11229562948076577,0.0431192157527502
0.3143633186946772,0.026419649258769905,0.11232215223370651,0.04311935326494499
0.3144373213578311,0.026450862420509473,0.11234867514042574,0.04311949097911068
0.31451132402098486,0.026482105258385548,0.1123751982011408,0.04311962889548402
0.31458532668413863,0.026513377794069558,0.11240172141606931,0.04311976701430214
0.3146593293472925,0.026544680049244818,0.11242824478542919,0.04311990533580238
0.3147333320104463,0.026576012045606532,0.11245476830943851,0.04312004386022221
0.3148073346736001,0.02660737380486181,0.11248129198831569,0.043120182587799455
0.3148813373367539,0.026638765348729655,0.11250781582227934,0.04312032151877209
0.3149553399999077,0.026670186698940987,0.11253433981154841,0.04312046065337838
0.31502934266306154,0.026701637877238643,0.11256086395634202,0.04312059999185678
0.3151033453262153,0.02673311890537738,0.11258738825687958,0.04312073953444598
0.31517734798936914,0.02676462980512389,0.11261391271338081,0.04312087928138496
0.31525135065252297,0.026796170598256796,0.11264043732606559,0.043121019232912845
0.31532535331567674,0.02682774130656667,0.1126669620951541,0.043121159389269054
0.3153993559788306,0.026859341951856026,0.11269348702086687,0.04312129975069326
0.3154733586419844,0.02689097255593934,0.11272001210342451,0.04312144031742527
0.31554736130513816,0.026922633140643044,0.11274653734304801,0.043121581089705215
0.315621363968292,0.026954323727805547,0.11277306273995866,0.043121722067773455
0.3156953666314458,0.026986044339277225,0.11279958829437788,0.04312186325187054
0.31576936929459964,0.027017794996920443,0.11282611400652742,0.04312200464223729
0.3158433719577534,0.027049575722609548,0.11285263987662932,0.04312214623911473
0.31591737462090724,0.027081386538230886,0.1128791659049058,0.04312228804274416
0.31599137728406107,0.0271132274656828,0.11290569209157944,0.04312243005336708
0.31606537994721484,0.027145098526875647,0.11293221843687296,0.043122572271225235
0.31613938261036867,0.02717699974373179,0.11295874494100945,0.043122714696560614
0.3162133852735225,0.027208931138185625,0.11298527160421222,0.04312285732961544
0.31628738793667627,0.02724089273218356,0.1130117984267048,0.04312300017063215
0.3163613905998301,0.027272884547684048,0.11303832540871107,0.04312314321985346
0.3164353932629839,0.027304906606657582,0.1130648525504551,0.043123286477522275
0.31650939592613775,0.0273369589310867,0.11309137985216128,0.04312342994388177
0.3165833985892915,0.02736904154296599,0.11311790731405416,0.04312357361917532
0.3166574012524453,0.027401154464302104,0.11314443493635867,0.04312371750364658
0.3167314039155992,0.027433297717113763,0.1131709627193,0.04312386159753946
0.31680540657875295,0.02746547132343176,0.11319749066310344,0.043124005901098
0.3168794092419068,0.027497675305298962,0.11322401876799475,0.04312415041456659
0.3169534119050606,0.027529909684770332,0.11325054703419984,0.04312429513818981
0.31702741456821437,0.027562174483912922,0.1132770754619449,0.04312444007221245
0.3171014172313682,0.027594469724805885,0.11330360405145642,0.04312458521687961
0.31717541989452197,0.02762679542954048,0.11333013280296109,0.04312473057243657
0.3172494225576758,0.027659151620220077,0.11335666171668594,0.04312487613912888
0.3173234252208296,0.02769153831896017,0.11338319079285823,0.04312502191720229
0.3173974278839834,0.027723955547888375,0.11340972003170544,0.04312516790690283
0.3174714305471373,0.027756403329144447,0.11343624943345541,0.04312531410847677
0.31754543321029105,0.027788881684880275,0.11346277899833614,0.04312546052217054
0.3176194358734448,0.027821390637259902,0.11348930872657596,0.04312560714823091
0.31769343853659865,0.027853930208459516,0.11351583861840352,0.04312575398690485
0.3177674411997525,0.027886500420667468,0.11354236867404761,0.04312590103843958
0.3178414438629063,0.027919101296084277,0.11356889889373738,0.04312604830308252
0.3179154465260601,0.027951732856922637,0.11359542927770218,0.04312619578108134
0.3179894491892139,0.02798439512540742,0.1136219598261717,0.043126343472684014
